order_id,order_date,region,category,product,quantity,unit_price,discount_pct,revenue,cost,profit,customer_segment
ORD11704,2024-01-01,North,Apparel,Denim Jacket,4,72.59,15,246.81,163.78,83.03,New
ORD10961,2024-01-01,South,Apparel,Running Shoes,4,87.65,5,333.07,170.62,162.45,New
ORD10054,2024-01-01,North,Sports,Dumbbell Set,5,152.08,10,684.36,378.3,306.06,Returning
ORD11790,2024-01-01,West,Electronics,Bluetooth Speaker,3,584.99,0,1754.97,1018.19,736.78,Returning
ORD11703,2024-01-01,South,Electronics,Laptop Stand,5,466.76,10,2100.42,1145.38,955.04,New
ORD10713,2024-01-02,West,Apparel,Running Shoes,1,11.54,0,11.54,7.09,4.45,Returning
ORD10153,2024-01-02,North,Sports,Football,2,79.01,0,158.02,99.0,59.02,Returning
ORD10021,2024-01-02,East,Sports,Dumbbell Set,4,196.7,0,786.8,505.98,280.82,VIP
ORD11136,2024-01-02,West,Books,Self-Help Book,4,23.43,20,74.98,59.96,15.02,VIP
ORD11156,2024-01-03,South,Books,Fiction Novel,4,7.99,0,31.96,16.21,15.75,Returning
ORD11696,2024-01-03,West,Electronics,Laptop Stand,3,820.78,0,2462.34,1231.12,1231.22,New
ORD11094,2024-01-03,North,Books,Biography,1,35.83,0,35.83,20.35,15.48,Returning
ORD10179,2024-01-03,South,Home & Kitchen,Blender,2,158.79,10,285.82,203.35,82.47,Returning
ORD11736,2024-01-04,North,Home & Kitchen,Blender,3,140.72,0,422.16,271.73,150.43,VIP
ORD10901,2024-01-04,South,Electronics,4K Monitor,1,487.2,0,487.2,298.23,188.97,Returning
ORD11988,2024-01-04,South,Apparel,Sneakers,4,53.52,10,192.67,131.56,61.11,New
ORD10619,2024-01-04,North,Electronics,4K Monitor,3,449.34,0,1348.02,619.28,728.74,VIP
ORD10824,2024-01-04,North,Apparel,Wool Sweater,3,33.69,10,90.96,57.92,33.04,VIP
ORD11456,2024-01-05,North,Books,Self-Help Book,1,43.78,0,43.78,20.3,23.48,Returning
ORD11239,2024-01-05,West,Apparel,Sneakers,4,117.32,0,469.28,287.14,182.14,Returning
ORD10060,2024-01-05,East,Electronics,Smartwatch,2,212.06,0,424.12,222.79,201.33,New
ORD10610,2024-01-05,North,Sports,Dumbbell Set,2,25.4,15,43.18,23.51,19.67,New
ORD11932,2024-01-06,North,Books,Fiction Novel,5,13.7,20,54.8,42.61,12.19,Returning
ORD10748,2024-01-06,East,Home & Kitchen,Cookware Set,5,170.13,5,808.12,523.47,284.65,New
ORD11237,2024-01-06,South,Sports,Football,4,126.29,0,505.16,274.28,230.88,Returning
ORD10464,2024-01-06,North,Books,Self-Help Book,4,14.49,0,57.96,35.87,22.09,New
ORD11431,2024-01-07,East,Books,Tech Manual,3,28.57,0,85.71,39.15,46.56,New
ORD11702,2024-01-07,North,Apparel,Denim Jacket,3,101.22,0,303.66,191.2,112.46,New
ORD10106,2024-01-07,East,Apparel,Wool Sweater,5,113.89,0,569.45,340.06,229.39,Returning
ORD11146,2024-01-08,North,Books,Fiction Novel,2,35.96,0,71.92,35.91,36.01,Returning
ORD11310,2024-01-08,North,Electronics,Wireless Earbuds,5,658.79,0,3293.95,1798.67,1495.28,Returning
ORD11196,2024-01-08,North,Books,Tech Manual,2,43.64,0,87.28,39.49,47.79,Returning
ORD11657,2024-01-08,East,Apparel,Wool Sweater,4,25.34,5,96.29,64.24,32.05,New
ORD10050,2024-01-09,North,Home & Kitchen,Vacuum Cleaner,5,189.52,0,947.6,543.58,404.02,Returning
ORD11145,2024-01-09,North,Home & Kitchen,Vacuum Cleaner,3,98.92,0,296.76,180.31,116.45,Returning
